Fecha,Local,Visit,Local Score,Visit Score,Local i5,Visit i5,Local Hits,Visit Hits,Local pitcher,Local pitcher in,Local pitcher ERA,Local pitcher Hit ERA,Local pitcher K ERA,Local pitcher BB ERA,Visit pitcher,Visit pitcher in,Visit pitcher ERA,Visit pitcher Hit ERA,Visit pitcher K ERA,Visit pitcher BB ERA,Date,Local Win?,L bullpen recieved,V bullpen recieved
,Mariners,Athletics,1.0,3.0,0.0,1.0,4.0,12.0,M. Gonzales ,6.0,2.0,8.0,2.0,1.0,J. Kaprielian ,6.0,1.0,3.0,4.0,2.0,20220701,0.0,1.0,0.0
,Dodgers,Padres,5.0,1.0,1.0,1.0,10.0,4.0,T. Gonsolin ,7.2,1.0,4.0,8.0,0.0,B. Snell,5.0,1.0,4.0,12.0,4.0,20220701,1.0,0.0,4.0
,Giants,White,0.0,1.0,0.0,0.0,3.0,6.0,A. Cobb,5.0,0.0,3.0,3.0,1.0,L. Lynn,6.0,0.0,3.0,5.0,2.0,20220701,0.0,1.0,0.0
,Blue,Rays,2.0,6.0,1.0,4.0,5.0,13.0,K. Gausman,2.0,0.0,4.0,3.0,1.0,S. McClanahan ,7.0,1.0,3.0,10.0,1.0,20220702,0.0,6.0,1.0
,Guardians,Yankees,4.0,13.0,2.0,4.0,5.0,14.0,K. McCarty ,5.0,4.0,6.0,3.0,4.0,G. Cole ,6.0,2.0,3.0,6.0,3.0,20220702,0.0,9.0,2.0
,Twins,Orioles,4.0,3.0,0.0,3.0,10.0,7.0,S. Gray,5.0,3.0,6.0,5.0,3.0,J. Lyles,6.1,1.0,4.0,7.0,1.0,20220702,1.0,0.0,3.0
,Giants,White,3.0,5.0,1.0,3.0,8.0,8.0,L. Webb ,6.0,5.0,6.0,5.0,1.0,D. Cease ,5.0,1.0,4.0,4.0,3.0,20220702,0.0,0.0,2.0
,Nationals,Marlins,3.0,5.0,2.0,4.0,7.0,7.0,J. Tetreault ,4.0,4.0,4.0,1.0,5.0,D. Castano ,5.0,3.0,4.0,3.0,2.0,20220702,0.0,1.0,0.0
,Pirates,Brewers,7.0,4.0,7.0,2.0,9.0,11.0,B. Wilson ,6.0,2.0,8.0,4.0,1.0,A. Ashby ,3.2,4.0,5.0,6.0,1.0,20220702,1.0,2.0,3.0
,Phillies,Cardinals,6.0,7.0,5.0,6.0,12.0,9.0,K. Gibson,4.0,6.0,7.0,2.0,2.0,M. Liberatore,2.2,5.0,7.0,3.0,1.0,20220702,0.0,1.0,1.0
,Astros,Angels,9.0,1.0,5.0,1.0,12.0,3.0,J. Urquidy ,6.0,1.0,2.0,8.0,3.0,P. Sandoval ,5.0,5.0,8.0,9.0,2.0,20220702,1.0,0.0,4.0
,Reds,Braves,1.0,4.0,1.0,2.0,1.0,7.0,T. Mahle ,5.0,2.0,5.0,5.0,4.0,S. Strider ,6.0,1.0,1.0,11.0,1.0,20220702,0.0,2.0,0.0
,Tigers,Royals,4.0,3.0,2.0,3.0,7.0,6.0,B. Brieske,6.0,3.0,6.0,3.0,3.0,K. Bubic,4.2,2.0,5.0,4.0,3.0,20220702,1.0,0.0,2.0
,Mariners,Athletics,2.0,1.0,0.0,1.0,8.0,4.0,G. Kirby,7.0,1.0,3.0,9.0,1.0,P. Blackburn,6.1,0.0,4.0,5.0,1.0,20220702,1.0,0.0,2.0
,Mets,Rangers,3.0,7.0,3.0,5.0,9.0,10.0,T. Williams ,3.2,5.0,5.0,3.0,1.0,M. Perez ,6.2,3.0,7.0,4.0,2.0,20220702,0.0,2.0,0.0
,Blue,Rays,5.0,11.0,2.0,10.0,11.0,14.0,T. Hatch ,4.2,10.0,12.0,4.0,2.0,D. Rasmussen,4.2,2.0,5.0,2.0,2.0,20220702,0.0,1.0,3.0
,Guardians,Yankees,1.0,6.0,1.0,2.0,7.0,7.0,A. Civale ,6.0,4.0,5.0,6.0,2.0,N. Cortes ,6.0,1.0,3.0,6.0,0.0,20220702,0.0,2.0,0.0
,Cubs,Red,3.0,1.0,2.0,0.0,8.0,5.0,A. Mills,0.1,0.0,1.0,1.0,0.0,J. Winckowski ,6.0,2.0,6.0,6.0,1.0,20220702,1.0,1.0,1.0
,Dodgers,Padres,7.0,2.0,5.0,0.0,8.0,10.0,T. Anderson ,6.1,1.0,6.0,6.0,2.0,Y. Darvish ,6.0,5.0,8.0,10.0,0.0,20220702,1.0,1.0,2.0
,Rockies,Diamondbacks,11.0,7.0,7.0,2.0,12.0,9.0,A. Gomber ,5.2,4.0,6.0,2.0,0.0,D. Keuchel ,5.0,7.0,6.0,3.0,3.0,20220702,1.0,3.0,4.0
